id,activity,skill,frequency,enjoyment,description
1,Running/Fitness,80,100,90,"Running, biking, going to the gym, that sort of thing."
2,Front-end Dev,65,85,95,"I'm taking this course, but already have a good deal of experience."
3,Travel/Adventure,80,20,99,"I love traveling, hiking, exploring new places."
4,Back-end Dev,20,19,60,"Some php; some node."
5,Guitar,15,5,14,I've played since I was a kid and have gone through phases of doing it more or less.
6,Cooking,60,65,55,I like cooking but only if I feel like I have the time. Which I often don't!
7,Rock climbing,50,50,75,Mainly in a rock gym.
