id,activity,skill,frequency,enjoyment,description
1,Running/Fitness,40,30,20,"Mainly running."
2,Front-end Dev,3,0,0,"In 1990 there was no internet, at least not that I knew anything about."
3,Travel/Adventure,70,30,90,"I love traveling, hiking, exploring new places."
4,Back-end Dev,0,0,0,"I knew nothing about it in 1990."
5,Guitar,65,71,95,I've played since I was a kid and have gone through phases of doing it more or less.
6,Cooking,25,60,36,I like cooking but only if I feel like I have the time. Which I often don't!
7,Rock climbing,62,55,90,Mainly outdoors on weekend trips with friends.
