id,activity,skill,frequency,enjoyment,description
1,Running/Fitness,75,65,70,"Started swimming, a little biking."
2,Front-end Dev,45,45,92,"Prototyping as a designer-who-codes."
3,Travel/Adventure,78,15,95,"I love traveling, hiking, exploring new places."
4,Back-end Dev,15,15,55,"Teach myself some php for personal projects."
5,Guitar,35,35,60,I've played since I was a kid and have gone through phases of doing it more or less.
6,Cooking,45,20,50,I like cooking but only if I feel like I have the time. Which I often don't!
7,Rock climbing,30,0,70,Mainly outdoors on weekend trips with friends.
