id,activity,skill,frequency,enjoyment,description
1,Running/Fitness,80,65,75,"Still just running."
2,Front-end Dev,35,50,90,"Still a lot of actionscript."
3,Travel/Adventure,75,10,90,"I love traveling, hiking, exploring new places."
4,Back-end Dev,15,15,60,"Started teaching myself Ruby-on-Rails for a personal project."
5,Guitar,50,50,90,I've played since I was a kid and have gone through phases of doing it more or less.
6,Cooking,45,20,50,I like cooking but only if I feel like I have the time. Which I often don't!
7,Rock climbing,35,5,75,Mainly outdoors on weekend trips with friends.
