id,activity,skill,frequency,enjoyment,description
1,Running/Fitness,80,80,80,"Joined a running club; ran Chicago Marathon."
2,Front-end Dev,30,40,80,"Largely flash actionscript; also HTML/CSS."
3,Travel/Adventure,73,10,90,"I love traveling, hiking, exploring new places."
4,Back-end Dev,5,5,60,"I began to learn a tiny bit of c++."
5,Guitar,82,80,95,I've played since I was a kid and have gone through phases of doing it more or less.
6,Cooking,40,30,40,I like cooking but only if I feel like I have the time. Which I often don't!
7,Rock climbing,40,15,78,Mainly outdoors on weekend trips with friends.
