id,activity,skill,frequency,enjoyment,description
1,Running/Fitness,70,70,70,"Running, 10k races, the occasional marathon."
2,Front-end Dev,10,15,30,"I built a first-generation website for my first job."
3,Travel/Adventure,70,35,90,"I love traveling, hiking, exploring new places."
4,Back-end Dev,0,0,0,"I knew nothing about it in 1995."
5,Guitar,75,75,95,I've played since I was a kid and have gone through phases of doing it more or less.
6,Cooking,30,50,33,I like cooking but only if I feel like I have the time. Which I often don't!
7,Rock climbing,52,35,90,Mainly outdoors on weekend trips with friends.
